Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Cabin_Missing_Indicator,z_score_age,z_score_fare
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
second,female,24.0,0,0,13.0,Missing,S,True,-0.42317358429069296,-0.376879998099532
third,male,18.0,1,1,20.2125,Missing,S,True,-0.8849143631208539,-0.2380967516498297
first,male,29.498846153846156,0,0,30.5,C106,S,False,2.734054635016516e-16,-0.04014421815224739
third,male,25.0,0,0,7.05,Missing,S,True,-0.34621678781899945,-0.4913701632816087
second,female,24.0,0,2,14.5,Missing,S,True,-0.42317358429069296,-0.3480169312469076
third,male,22.0,0,0,7.5208,Missing,S,True,-0.57708717723408,-0.48231100869879834
first,male,0.92,1,2,64.3625,C22 C26,S,False,-2.199336446857379,2.2891052768545417
second,female,24.0,1,0,26.0,Missing,S,True,-0.42317358429069296,-0.12673341871012056
third,female,26.0,0,0,7.925,Missing,S,True,-0.26925999134730594,-0.47453337428424447
second,male,34.0,1,0,21.0,Missing,S,True,0.34639438042624204,-0.2229436415522019
first,female,21.0,2,2,64.3625,B57 B59 B63 B66,C,False,-0.6540439737057735,4.4216048661492735
third,male,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,female,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
third,male,29.498846153846156,0,0,8.6625,Missing,S,True,2.734054635016516e-16,-0.4603423664150375
third,female,22.0,0,0,7.775,Missing,S,True,-0.57708717723408,-0.477419680969507
first,female,62.0,0,0,64.3625,B28,S,False,2.50118468163366,0.9123369879843576
third,female,18.0,0,0,9.8417,Missing,S,True,-0.8849143631208539,-0.43765214745996106
first,female,42.0,0,0,64.3625,Missing,C,True,0.96204875219979,3.7510196129399667
second,male,57.0,0,0,12.35,Missing,Q,True,2.1164006992751925,-0.38938732706900253
third,male,19.0,0,0,0.0,Missing,S,True,-0.8079575666491604,-0.6270265774889434
second,female,42.0,1,0,26.0,Missing,S,True,0.96204875219979,-0.12673341871012056
third,male,29.498846153846156,0,0,7.225,Missing,C,True,2.734054635016516e-16,-0.48800280548213587
third,female,20.0,0,0,8.6625,Missing,S,True,-0.7310007701774669,-0.4603423664150375
third,male,34.5,0,0,6.4375,Missing,C,True,0.3848727786620888,-0.5031559155797637
third,male,28.0,0,0,9.5,Missing,S,True,-0.11534639840391894,-0.4442271540889889
third,male,29.498846153846156,0,0,8.05,Missing,S,True,2.734054635016516e-16,-0.47212811871319244
third,male,23.0,0,0,7.8958,Missing,S,True,-0.5001303807623865,-0.47509524198564224
third,male,22.0,0,0,7.25,Missing,S,True,-0.57708717723408,-0.4875217543679255
first,male,52.0,0,0,30.5,C104,S,False,1.7316167169167251,-0.04014421815224739
third,female,30.0,0,0,12.475,Missing,S,True,0.038567194539468067,-0.3869820714979505
second,male,36.5,0,2,26.0,F2,S,False,0.5387863716054758,-0.12673341871012056
third,male,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,male,22.0,0,0,7.2292,Missing,C,True,-0.57708717723408,-0.4879219888949486
first,male,50.0,2,0,64.3625,Missing,S,True,1.5777031239733381,1.9446726790798903
third,male,27.0,0,0,6.975,Missing,S,True,-0.19230319487561243,-0.49281331662423994
third,male,22.0,0,0,8.05,Missing,S,True,-0.57708717723408,-0.47212811871319244
first,female,51.0,1,0,64.3625,D11,S,False,1.6546599204450316,0.873050505589022
second,male,36.0,0,0,10.5,Missing,S,True,0.5003079733696291,-0.4249851095205726
second,female,29.0,1,0,26.0,Missing,S,True,-0.03838960193222544,-0.12673341871012056
first,female,22.0,0,0,64.3625,Missing,S,True,-0.57708717723408,2.2891052768545417
first,male,50.0,1,0,64.3625,C86,C,False,1.5777031239733381,1.4208080157047571
second,female,40.0,0,0,13.0,Missing,S,True,0.8081351592564031,-0.376879998099532
third,male,27.0,0,0,8.6625,Missing,S,True,-0.19230319487561243,-0.4603423664150375
first,male,29.498846153846156,0,0,0.0,Missing,S,True,2.734054635016516e-16,-0.6270265774889434
first,male,65.0,0,0,26.55,E38,S,False,2.7320550710487406,-0.11615029419749161
third,male,17.0,0,0,8.6625,Missing,S,True,-0.9618711595925474,-0.4603423664150375
first,male,28.0,0,0,26.55,C52,S,False,-0.11534639840391894,-0.11615029419749161
first,male,4.0,0,2,64.3625,A34,S,False,-1.962309513724563,0.9480944794058456
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
third,female,1.0,1,1,11.1333,Missing,S,True,-2.1931799031396433,-0.41279912269539465
second,male,36.0,1,2,27.75,Missing,S,True,0.5003079733696291,-0.09305984071539211
second,male,43.0,1,1,26.25,Missing,S,True,1.0390055486714835,-0.1219229075680165
first,male,38.0,0,1,64.3625,C91,S,False,0.6542215663130161,2.3259056870916375
second,female,31.0,1,1,26.25,Missing,S,True,0.11552399101116156,-0.1219229075680165
third,male,29.0,0,0,8.05,Missing,S,True,-0.03838960193222544,-0.47212811871319244
third,male,18.0,0,0,8.3,Missing,S,True,-0.8849143631208539,-0.46731760757108837
second,male,29.498846153846156,0,0,15.05,Missing,C,True,2.734054635016516e-16,-0.33743380673427864
first,female,39.0,1,1,64.3625,C68,C,False,0.7311783627847096,1.5065948230041275
second,male,39.0,0,0,13.0,Missing,S,True,0.7311783627847096,-0.376879998099532
third,male,26.0,2,0,8.6625,Missing,S,True,-0.26925999134730594,-0.4603423664150375
third,male,20.0,0,0,7.05,Missing,S,True,-0.7310007701774669,-0.4913701632816087
first,female,29.498846153846156,1,0,64.3625,Missing,S,True,2.734054635016516e-16,1.9446726790798903
third,male,49.0,0,0,0.0,Missing,S,True,1.5007463275016446,-0.6270265774889434
second,male,23.0,0,0,15.0458,Missing,C,True,-0.5001303807623865,-0.337514623321466
third,male,1.0,4,1,39.6875,Missing,S,True,-2.1931799031396433,0.13664206632007703
third,female,29.498846153846156,0,0,7.8792,Missing,Q,True,2.734054635016516e-16,-0.47541465992547793
third,male,29.498846153846156,1,2,23.45,Missing,S,True,2.734054635016516e-16,-0.17580063235958204
second,male,3.0,1,1,26.0,F2,S,False,-2.0392663101962563,-0.12673341871012056
third,male,4.0,1,1,11.1333,Missing,S,True,-1.962309513724563,-0.41279912269539465
third,male,19.0,0,0,7.65,F G73,S,False,-0.8079575666491604,-0.479824936540559
third,male,40.5,0,0,7.75,Missing,Q,True,0.8466135574922499,-0.47790073208371736
third,female,1.0,0,2,15.7417,Missing,C,True,-2.1931799031396433,-0.3241240845063051
third,female,29.498846153846156,0,2,15.2458,Missing,C,True,2.734054635016516e-16,-0.33366621440778277
third,male,21.0,0,0,7.925,Missing,S,True,-0.6540439737057735,-0.47453337428424447
first,male,54.0,0,0,51.8625,E46,S,False,1.8855303098601122,0.37091395894054496
third,male,29.498846153846156,0,0,15.5,Missing,Q,True,2.734054635016516e-16,-0.3287748866784913
second,male,25.0,1,2,41.5792,Missing,C,True,-0.34621678781899945,0.17304224203015006
third,male,26.0,1,0,14.4542,Missing,C,True,-0.26925999134730594,-0.34889821688814104
third,female,22.0,0,0,10.5167,Missing,S,True,-0.57708717723408,-0.4246637673762801
third,female,31.0,1,1,20.525,Missing,S,True,0.11552399101116156,-0.23208361272219963
first,male,49.0,1,0,64.3625,C92,C,False,1.5007463275016446,1.087520410144133
second,male,19.0,1,1,36.75,Missing,S,True,-0.8079575666491604,0.08011856040035424
second,male,24.0,0,0,10.5,Missing,S,True,-0.42317358429069296,-0.4249851095205726
third,male,16.0,0,0,8.05,Missing,S,True,-1.038827956064241,-0.47212811871319244
first,male,25.0,1,0,55.4417,E50,C,False,-0.34621678781899945,0.43978508485982043
third,male,39.0,0,0,24.15,Missing,S,True,0.7311783627847096,-0.16233120116169067
third,female,47.0,1,0,14.5,Missing,S,True,1.3468327345582576,-0.3480169312469076
first,male,60.0,0,0,26.55,Missing,S,True,2.347271088690273,-0.11615029419749161
second,male,24.0,0,0,13.0,Missing,S,True,-0.42317358429069296,-0.376879998099532
first,male,29.498846153846156,0,0,50.0,A32,S,False,2.734054635016516e-16,0.3350756509318697
second,female,27.0,1,0,21.0,Missing,S,True,-0.19230319487561243,-0.2229436415522019
second,male,29.498846153846156,0,0,13.8625,Missing,C,True,2.734054635016516e-16,-0.36028373465927294
third,male,38.0,0,0,7.8958,Missing,S,True,0.6542215663130161,-0.47509524198564224
third,male,44.0,0,0,8.05,Missing,S,True,1.115962345143177,-0.47212811871319244
second,female,21.0,0,0,10.5,Missing,S,True,-0.6540439737057735,-0.4249851095205726
third,female,24.0,0,2,16.7,G6,S,False,-0.42317358429069296,-0.3056844331963918
second,female,45.0,0,0,13.5,Missing,S,True,1.1929191416148706,-0.36725897581532385
second,male,8.0,1,1,36.75,Missing,S,True,-1.654482327837789,0.08011856040035424
third,female,8.0,3,1,21.075,Missing,S,True,-1.654482327837789,-0.22150048820957066
first,male,29.498846153846156,0,0,35.0,C128,S,False,2.734054635016516e-16,0.046444982405625786
third,male,32.0,0,0,8.05,E10,S,False,0.19248078748285508,-0.47212811871319244
first,male,50.0,1,0,55.9,E44,S,False,1.5777031239733381,0.4486037138855256
third,male,21.0,0,0,7.8,Missing,S,True,-0.6540439737057735,-0.4769386298552965
second,female,50.0,0,0,10.5,Missing,S,True,1.5777031239733381,-0.4249851095205726
third,female,23.0,0,0,7.925,Missing,S,True,-0.5001303807623865,-0.47453337428424447
third,male,32.0,0,0,7.8542,Missing,S,True,0.19248078748285508,-0.4758957110396884
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,female,21.0,2,2,34.375,Missing,S,True,-0.6540439737057735,0.03441870455036562
third,male,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,male,25.0,0,0,7.225,Missing,C,True,-0.34621678781899945,-0.48800280548213587
third,male,15.0,1,1,7.2292,Missing,C,True,-1.1157847525359343,-0.4879219888949486
third,female,31.0,1,0,18.0,Missing,S,True,0.11552399101116156,-0.2806697752574507
second,male,25.0,0,0,13.0,Missing,S,True,-0.34621678781899945,-0.376879998099532
second,male,54.0,0,0,26.0,Missing,S,True,1.8855303098601122,-0.12673341871012056
first,male,28.0,0,0,47.1,Missing,S,True,-0.11534639840391894,0.2792737216834626
first,female,38.0,0,0,64.3625,B28,S,False,0.6542215663130161,0.9123369879843576
second,female,41.0,0,1,19.5,Missing,S,True,0.8850919557280966,-0.2518067084048263
third,male,33.0,0,0,8.6625,Missing,C,True,0.2694375839545486,-0.4603423664150375
second,male,52.0,0,0,13.5,Missing,S,True,1.7316167169167251,-0.36725897581532385
third,male,16.0,1,1,20.25,Missing,S,True,-1.038827956064241,-0.23737517497851407
third,male,20.0,0,0,8.05,Missing,S,True,-0.7310007701774669,-0.47212811871319244
third,male,9.0,4,2,31.3875,Missing,S,True,-1.5775255313660954,-0.023066903597777973
third,male,29.498846153846156,0,0,8.1125,Missing,S,True,2.734054635016516e-16,-0.47092549092766645
third,male,29.498846153846156,0,0,7.8292,Missing,Q,True,2.734054635016516e-16,-0.4763767621538988
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
first,female,54.0,1,0,59.4,Missing,C,True,1.8855303098601122,0.5159508698749825
third,male,26.0,0,0,7.8958,Missing,S,True,-0.26925999134730594,-0.47509524198564224
first,male,60.0,1,1,64.3625,B41,C,False,2.347271088690273,0.8969433523296246
third,male,29.498846153846156,0,0,56.4958,Missing,S,True,2.734054635016516e-16,0.4600681240393881
first,female,44.0,0,1,57.9792,B18,C,False,1.115962345143177,0.4886117729521767
third,male,20.0,1,0,7.925,Missing,S,True,-0.7310007701774669,-0.47453337428424447
third,male,29.498846153846156,3,1,25.4667,Missing,S,True,2.734054635016516e-16,-0.13699520107845697
second,male,16.0,0,0,10.5,Missing,S,True,-1.038827956064241,-0.4249851095205726
third,female,43.0,1,6,46.9,Missing,S,True,1.0390055486714835,0.2754253127697793
third,male,17.0,0,0,8.6625,Missing,S,True,-0.9618711595925474,-0.4603423664150375
first,male,37.0,1,1,52.5542,D35,S,False,0.5772647698413226,0.38422368116851857
second,male,62.0,0,0,10.5,Missing,S,True,2.50118468163366,-0.4249851095205726
third,male,8.0,4,1,29.125,Missing,Q,True,-1.654482327837789,-0.06660202943381975
third,male,32.0,0,0,56.4958,Missing,S,True,0.19248078748285508,0.4600681240393881
third,female,20.0,1,0,9.825,Missing,S,True,-0.7310007701774669,-0.43797348960425364
second,female,28.0,0,0,13.0,Missing,S,True,-0.11534639840391894,-0.376879998099532
third,female,21.0,0,0,7.75,Missing,Q,True,-0.6540439737057735,-0.47790073208371736
third,male,37.0,2,0,7.925,Missing,S,True,0.5772647698413226,-0.47453337428424447
third,female,17.0,0,0,14.4583,Missing,C,True,-0.9618711595925474,-0.34881932450541053
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
first,male,46.0,1,0,61.175,E31,S,False,1.269875938086564,0.5501054989839214
third,male,29.498846153846156,0,0,15.1,Missing,S,True,2.734054635016516e-16,-0.3364717045058578
third,male,24.0,0,0,8.05,Missing,S,True,-0.42317358429069296,-0.47212811871319244
first,male,29.0,1,0,64.3625,C2,S,False,-0.03838960193222544,0.6544935907675795
first,female,56.0,0,1,64.3625,C50,C,False,2.039443902803499,0.9731091373447867
second,male,31.0,1,1,37.0042,Missing,C,True,0.11552399101116156,0.0850098881296456
third,male,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
second,male,32.0,1,0,26.0,Missing,S,True,0.19248078748285508,-0.12673341871012056
third,male,33.0,1,1,20.525,Missing,S,True,0.2694375839545486,-0.23208361272219963
third,male,59.0,0,0,7.25,Missing,S,True,2.2703142922185795,-0.4875217543679255
first,female,58.0,0,0,26.55,C103,S,False,2.193357495746886,-0.11615029419749161
third,female,29.498846153846156,1,0,16.1,Missing,S,True,2.734054635016516e-16,-0.3172296599374415
second,female,3.0,1,2,41.5792,Missing,C,True,-2.0392663101962563,0.17304224203015006
third,male,29.498846153846156,0,0,7.8958,Missing,C,True,2.734054635016516e-16,-0.47509524198564224
first,female,16.0,0,1,57.9792,B18,C,False,-1.038827956064241,0.4886117729521767
third,female,45.0,1,4,27.9,Missing,S,True,1.1929191416148706,-0.0901735340301297
first,female,43.0,0,1,64.3625,B3,S,False,1.0390055486714835,3.4395390164887285
first,female,30.0,0,0,64.3625,Missing,C,True,0.038567194539468067,1.4208080157047571
third,male,28.5,0,0,16.1,Missing,S,True,-0.07686800016807219,-0.3172296599374415
third,male,24.0,0,0,7.7958,Missing,S,True,-0.42317358429069296,-0.4770194464424839
second,male,30.0,0,0,13.0,Missing,S,True,0.038567194539468067,-0.376879998099532
first,male,36.0,0,0,40.125,A10,C,False,0.5003079733696291,0.14506046081875912
third,male,25.0,0,0,7.05,Missing,S,True,-0.34621678781899945,-0.4913701632816087
third,female,29.498846153846156,0,2,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
first,female,50.0,0,0,28.7125,C49,C,False,1.5777031239733381,-0.07453937281829148
third,female,0.75,2,1,19.2583,Missing,C,True,-2.212419102257567,-0.2564575105770125
first,female,24.0,0,0,49.5042,C90,C,False,-0.42317358429069296,0.3255354452348489
second,female,24.0,1,2,64.3625,Missing,S,True,-0.42317358429069296,0.6237063194581136
first,female,35.0,1,0,52.0,Missing,S,True,0.42335117689793555,0.37355974006870224
first,female,30.0,0,0,64.3625,B77,S,False,0.038567194539468067,1.0374102776790632
second,male,23.0,0,0,13.0,Missing,S,True,-0.5001303807623865,-0.376879998099532
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
second,male,27.0,0,0,26.0,Missing,S,True,-0.19230319487561243,-0.12673341871012056
second,female,55.0,0,0,16.0,Missing,S,True,1.9624871063318057,-0.31915386439428317
first,female,35.0,1,0,53.1,C123,S,False,0.42335117689793555,0.3947259890939602
third,male,29.498846153846156,0,0,6.8583,Missing,Q,True,2.734054635016516e-16,-0.4950588632253741
first,female,29.498846153846156,0,0,64.3625,Missing,C,True,2.734054635016516e-16,0.8969433523296246
third,male,29.498846153846156,1,0,19.9667,Missing,S,True,2.734054635016516e-16,-0.24282644620474642
second,female,23.0,0,0,13.7917,D,C,False,-0.5001303807623865,-0.36164607141471683
third,female,29.498846153846156,0,0,7.7333,Missing,Q,True,2.734054635016516e-16,-0.4782220742280099
first,female,23.0,1,0,64.3625,D36,C,False,-0.5001303807623865,1.552616020998409
third,male,51.0,0,0,8.05,Missing,S,True,1.6546599204450316,-0.47212811871319244
second,female,33.0,0,2,26.0,Missing,S,True,0.2694375839545486,-0.12673341871012056
third,female,29.0,0,4,21.075,Missing,S,True,-0.03838960193222544,-0.22150048820957066
third,male,29.498846153846156,0,0,7.8958,Missing,C,True,2.734054635016516e-16,-0.47509524198564224
third,male,29.498846153846156,8,2,64.3625,Missing,S,True,2.734054635016516e-16,0.7112576222444076
second,female,2.0,1,1,26.0,Missing,S,True,-2.1162231066679498,-0.12673341871012056
second,female,14.0,1,0,30.0708,Missing,C,True,-1.1927415490076279,-0.04840290368101168
second,male,54.0,1,0,26.0,Missing,S,True,1.8855303098601122,-0.12673341871012056
third,female,15.0,0,0,8.0292,Missing,Q,True,-1.1157847525359343,-0.4725283532402155
first,female,22.0,0,1,55.0,E33,S,False,-0.57708717723408,0.43128587377395106
second,male,27.0,0,0,13.0,Missing,S,True,-0.19230319487561243,-0.376879998099532
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
first,male,29.498846153846156,0,0,39.6,Missing,C,True,2.734054635016516e-16,0.1349583874203406
second,female,28.0,1,0,24.0,Missing,C,True,-0.11534639840391894,-0.1652175078469531
third,male,39.0,0,0,7.925,Missing,S,True,0.7311783627847096,-0.47453337428424447
second,male,2.0,1,1,26.0,F2,S,False,-2.1162231066679498,-0.12673341871012056
third,male,24.0,1,0,16.1,Missing,S,True,-0.42317358429069296,-0.3172296599374415
third,male,32.0,0,0,7.8958,Missing,S,True,0.19248078748285508,-0.47509524198564224
third,male,45.5,0,0,7.225,Missing,C,True,1.2313975398507173,-0.48800280548213587
second,female,8.0,0,2,26.25,Missing,S,True,-1.654482327837789,-0.1219229075680165
third,male,26.0,1,2,20.575,Missing,S,True,-0.26925999134730594,-0.2311215104937788
first,female,29.0,0,0,64.3625,B5,S,False,-0.03838960193222544,3.4395390164887285
second,female,45.0,1,1,26.25,Missing,S,True,1.1929191416148706,-0.1219229075680165
third,female,36.0,1,0,17.4,Missing,S,True,0.5003079733696291,-0.2922150019985004
first,male,29.498846153846156,0,0,26.0,A19,S,False,2.734054635016516e-16,-0.12673341871012056
third,female,4.0,0,2,22.025,Missing,S,True,-1.962309513724563,-0.20322054586957525
second,male,16.0,0,0,26.0,Missing,S,True,-1.038827956064241,-0.12673341871012056
first,male,58.0,0,0,29.7,B37,C,False,2.193357495746886,-0.05553785380698041
third,male,40.5,0,2,14.5,Missing,S,True,0.8466135574922499,-0.3480169312469076
third,male,25.0,0,0,7.65,F G73,S,False,-0.34621678781899945,-0.479824936540559
third,male,29.498846153846156,0,0,7.8958,Missing,S,True,2.734054635016516e-16,-0.47509524198564224
third,male,51.0,0,0,7.0542,Missing,S,True,1.6546599204450316,-0.49128934669442137
second,male,29.498846153846156,0,0,0.0,Missing,S,True,2.734054635016516e-16,-0.6270265774889434
third,female,17.0,4,2,7.925,Missing,S,True,-0.9618711595925474,-0.47453337428424447
third,male,29.498846153846156,0,0,6.95,Missing,Q,True,2.734054635016516e-16,-0.49329436773845037
third,male,40.0,1,1,15.5,Missing,Q,True,0.8081351592564031,-0.3287748866784913
third,male,25.0,0,0,0.0,Missing,S,True,-0.34621678781899945,-0.6270265774889434
first,male,47.0,0,0,25.5875,E58,S,False,1.3468327345582576,-0.1346707620945923
first,male,29.498846153846156,0,0,26.55,C124,S,False,2.734054635016516e-16,-0.11615029419749161
second,male,44.0,1,0,26.0,Missing,S,True,1.115962345143177,-0.12673341871012056
first,female,23.0,3,2,64.3625,C23 C25 C27,S,False,-0.5001303807623865,4.433631144004534
second,male,18.0,0,0,11.5,Missing,S,True,-0.8849143631208539,-0.4057430649521564
second,male,29.0,1,0,21.0,Missing,S,True,-0.03838960193222544,-0.2229436415522019
third,male,12.0,1,0,11.2417,Missing,C,True,-1.3466551419510149,-0.41071328506417826
third,male,11.0,0,0,18.7875,Missing,C,True,-1.4236119384227084,-0.2655166651598228
third,female,22.0,0,0,7.75,Missing,Q,True,-0.57708717723408,-0.47790073208371736
second,male,19.0,0,0,10.5,Missing,S,True,-0.8079575666491604,-0.4249851095205726
third,male,22.0,1,0,7.25,Missing,S,True,-0.57708717723408,-0.4875217543679255
third,male,33.0,0,0,7.8958,Missing,S,True,0.2694375839545486,-0.47509524198564224
first,male,56.0,0,0,26.55,Missing,S,True,2.039443902803499,-0.11615029419749161
second,male,1.0,0,2,37.0042,Missing,C,True,-2.1931799031396433,0.0850098881296456
third,male,22.0,0,0,7.7958,Missing,S,True,-0.57708717723408,-0.4770194464424839
third,male,29.498846153846156,0,0,7.2292,Missing,C,True,2.734054635016516e-16,-0.4879219888949486
third,male,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
third,male,7.0,4,1,29.125,Missing,Q,True,-1.7314391243094824,-0.06660202943381975
third,female,4.0,0,1,13.4167,Missing,C,True,-1.962309513724563,-0.36886183812787293
second,male,18.0,0,0,13.0,Missing,S,True,-0.8849143631208539,-0.376879998099532
third,male,20.0,1,1,15.7417,Missing,C,True,-0.7310007701774669,-0.3241240845063051
second,male,24.0,2,0,64.3625,Missing,S,True,-0.42317358429069296,0.7872636982896519
third,male,29.498846153846156,0,0,7.225,Missing,C,True,2.734054635016516e-16,-0.48800280548213587
second,female,34.0,0,0,10.5,F33,S,False,0.34639438042624204,-0.4249851095205726
third,female,29.498846153846156,0,0,7.75,Missing,Q,True,2.734054635016516e-16,-0.47790073208371736
first,female,31.0,0,2,64.3625,C7,S,False,0.11552399101116156,2.54534581175877
third,male,30.0,0,0,7.8958,Missing,S,True,0.038567194539468067,-0.47509524198564224
second,male,18.0,0,0,11.5,Missing,S,True,-0.8849143631208539,-0.4057430649521564
third,female,9.0,3,2,27.9,Missing,S,True,-1.5775255313660954,-0.0901735340301297
first,female,39.0,1,1,64.3625,E67,S,False,0.7311783627847096,0.905602272385412
first,female,33.0,1,0,53.1,E8,S,False,0.2694375839545486,0.3947259890939602
first,female,24.0,0,0,64.3625,B35,C,False,-0.42317358429069296,0.7064471111023035
first,female,58.0,0,1,64.3625,C125,S,False,2.193357495746886,2.3259056870916375
third,male,21.0,0,0,7.8542,Missing,S,True,-0.6540439737057735,-0.4758957110396884
first,female,17.0,1,0,64.3625,C65,C,False,-0.9618711595925474,1.4684320760115879
third,female,28.0,1,1,14.4,Missing,S,True,-0.11534639840391894,-0.34994113570374924
first,female,24.0,0,0,64.3625,C54,C,False,-0.42317358429069296,0.9731091373447867
third,male,29.498846153846156,0,0,7.225,Missing,C,True,2.734054635016516e-16,-0.48800280548213587
third,male,29.498846153846156,1,0,15.5,Missing,Q,True,2.734054635016516e-16,-0.3287748866784913
third,male,42.0,0,0,8.6625,Missing,S,True,0.96204875219979,-0.4603423664150375
third,male,18.0,1,0,6.4958,Missing,S,True,-0.8849143631208539,-0.502034104381425
third,female,2.0,0,1,12.2875,Missing,S,True,-2.1162231066679498,-0.3905899548545285
second,female,34.0,0,0,13.0,Missing,S,True,0.34639438042624204,-0.376879998099532
third,male,3.0,4,2,31.3875,Missing,S,True,-2.0392663101962563,-0.023066903597777973
first,female,58.0,0,0,64.3625,B80,C,False,2.193357495746886,2.192333186311062
third,male,32.0,0,0,7.75,Missing,Q,True,0.19248078748285508,-0.47790073208371736
