,Survived
237,yes
93,no
730,yes
440,yes
559,yes
284,no
184,yes
791,no
487,no
153,no
75,no
656,no
631,no
277,no
68,yes
825,no
188,no
271,yes
662,no
711,no
236,no
88,yes
757,no
117,no
125,yes
731,no
289,yes
238,no
0,no
881,no
467,no
827,yes
395,no
531,no
126,no
278,no
691,yes
116,no
228,no
622,yes
655,no
598,no
516,yes
274,yes
318,yes
606,no
144,no
634,no
558,yes
809,yes
745,no
369,yes
268,yes
623,no
307,yes
423,no
310,yes
354,no
46,no
349,no
371,no
479,yes
576,yes
261,yes
195,yes
890,no
744,yes
107,yes
866,yes
59,no
658,no
263,no
568,no
100,no
443,yes
490,no
687,no
799,no
640,no
169,no
179,no
304,no
341,yes
57,no
858,yes
149,no
124,no
703,no
50,no
353,no
823,yes
142,yes
470,no
399,yes
575,no
320,no
19,yes
792,no
707,yes
723,no
407,yes
557,no
38,no
175,no
245,no
740,yes
602,no
768,no
764,no
154,no
287,no
750,yes
17,yes
127,yes
322,yes
255,yes
770,no
856,yes
190,yes
115,no
737,yes
180,no
301,yes
679,yes
638,no
649,yes
616,no
596,yes
517,no
875,yes
45,no
807,no
157,no
665,no
171,no
16,no
511,no
48,no
862,yes
749,no
515,no
617,no
480,no
283,yes
589,no
225,no
26,no
848,no
437,yes
844,no
364,no
229,no
37,no
857,yes
374,no
469,yes
859,no
758,no
651,yes
194,yes
760,no
868,no
503,no
861,no
741,no
579,yes
888,no
162,no
630,yes
152,no
684,no
629,no
675,no
111,no
226,yes
618,yes
103,no
421,no
419,no
586,no
119,no
53,yes
151,yes
403,no
839,yes
207,yes
752,no
717,yes
8,yes
722,no
36,yes
452,no
253,no
303,yes
667,no
571,yes
636,no
714,no
262,no
610,no
297,no
414,yes
150,no
705,no
789,no
550,yes
488,no
147,no
146,yes
836,no
826,no
870,no
348,yes
463,no
325,yes
186,yes
123,yes
759,yes
608,yes
143,no
851,no
197,no
609,yes
279,yes
293,no
400,yes
122,no
183,yes
202,no
438,no
246,no
415,no
788,yes
129,no
637,no
402,no
794,no
689,yes
810,no
219,no
641,yes
812,no
672,no
815,no
624,no
855,yes
680,no
386,no
863,no
509,yes
267,yes
732,no
441,no
496,yes
112,no
232,no
774,yes
607,yes
671,no
373,no
872,no
751,yes
233,yes
806,no
676,no
317,no
648,no
410,no
798,no
358,yes
258,yes
627,yes
632,yes
282,no
376,yes
384,no
224,yes
846,no
728,no
472,yes
347,yes
505,no
639,no
878,no
824,no
803,yes
619,no
761,no
645,yes
754,yes
556,yes
850,no
577,yes
85,yes
242,no
698,no
159,no
524,no
35,no
540,yes
170,no
654,no
786,yes
755,yes
838,yes
95,no
563,no
240,no
574,no
690,yes
460,yes
553,yes
780,yes
206,no
392,no
397,no
756,no
217,no
4,no
642,no
797,yes
612,yes
738,no
546,yes
725,no
683,no
98,yes
727,yes
573,yes
406,no
502,no
47,yes
32,yes
200,no
134,no
27,no
847,no
230,yes
489,yes
378,no
288,yes
418,no
674,no
391,yes
592,no
498,no
138,no
62,no
471,no
647,yes
128,yes
867,no
520,yes
64,no
14,no
156,yes
40,no
492,no
379,no
187,yes
763,yes
216,yes
52,yes
337,yes
748,no
719,no
724,yes
295,no
701,yes
251,no
726,yes
461,no
455,yes
887,yes
269,yes
201,no
161,yes
555,no
729,no
401,no
702,no
476,no
771,no
105,no
565,no
389,yes
1,yes
832,no
561,no
80,no
205,no
34,no
775,no
508,no
427,yes
454,no
366,yes
91,no
339,no
564,no
345,yes
776,no
241,yes
13,no
315,yes
600,yes
387,yes
273,no
166,yes
883,no
646,no
818,no
484,yes
873,no
504,yes
831,yes
243,no
566,no
562,no
686,no
189,no
782,no
699,no
475,no
681,yes
510,yes
58,yes
474,no
560,no
747,yes
252,no
21,yes
313,no
459,no
160,no
276,no
191,no
385,no
805,no
413,no
491,no
343,no
769,no
308,no
661,no
130,no
663,no
871,yes
99,no
372,no
87,no
458,yes
330,yes
214,no
466,no
121,no
614,no
20,no
700,yes
71,no
106,yes
270,no
860,no
435,yes
102,no
